"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent
China,"90,547",6,"4,636",0,"85,608",8,303,5,63,3,"160,000,000","111,163","1,439,323,776",Asia
USA,"32,669,189","67,138","584,285",926,"25,236,658","59,224","6,848,246","9,962","98,231","1,757","435,438,612","1,309,297","332,574,397",North America
India,"16,257,309","332,503","186,928","2,256","13,641,606","192,200","2,428,775","8,944","11,688",134,"272,705,103","196,053","1,390,975,476",Asia
Brazil,"14,172,139","49,344","383,757","2,070","12,673,785","27,653","1,114,597","8,318","66,292","1,795","28,600,000","133,781","213,782,412",South America
France,"5,408,606","34,318","102,164",283,"4,243,176","24,569","1,063,266","5,981","82,712","1,562","73,468,365","1,123,531","65,390,614",Europe
Russia,"4,736,121","8,996","107,103",397,"4,361,807","8,934","267,211","2,300","32,442",734,"126,800,000","868,581","145,985,225",Europe
Turkey,"4,501,382","54,791","37,329",354,"3,909,935","65,593","554,118","3,463","52,912",439,"45,040,704","529,438","85,072,664",Asia
UK,"4,398,431","2,729","127,345",18,"4,171,798","5,064","99,288",276,"64,517","1,868","147,468,783","2,163,097","68,174,839",Europe
Italy,"3,920,942","16,229","118,357",360,"3,330,392","19,125","472,193","3,021","64,927","1,960","56,250,055","931,452","60,389,660",Europe
Spain,"3,456,886","10,814","77,496",132,"3,156,955","5,368","222,435","2,283","73,913","1,657","44,374,223","948,786","46,769,469",Europe
Germany,"3,238,054","29,382","81,693",311,"2,845,300","21,200","311,061","5,049","38,548",973,"54,061,332","643,579","84,001,076",Europe
Argentina,"2,796,768","27,216","60,620",537,"2,449,793","25,118","286,355","4,791","61,425","1,331","10,521,258","231,078","45,531,211",South America
Poland,"2,731,264","12,770","64,168",694,"2,380,787","14,557","286,309","3,229","72,231","1,697","13,767,550","364,096","37,812,968",Europe
Colombia,"2,720,619","19,306","70,026",430,"2,538,020","16,076","112,573","5,306","53,011","1,364","14,134,970","275,421","51,321,307",South America
Iran,"2,335,905","24,092","68,366",453,"1,837,590","13,632","429,949","5,038","27,526",806,"14,854,140","175,040","84,861,311",Asia
